Report: 2017-07-14_AA0003_r-012-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 012-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/24,16:26:31
Report date/time: 2017/07/25,16:25:38
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B7

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0033,0187,02EC,013F,FE0E,8A1B,000C,0C58,2155,321D,1722,0301,0075,0011,0002,0000,0001
0034,0185,02F0,0143,FE0F,8A21,000A,0470,0B06,0B66,2118,316C,18CE,034F,0084,001D,0003
0035,0186,02EC,013F,FE0F,8A1C,000B,0B67,0C13,2147,30B9,189E,032D,008A,000E,0003,0001
0036,0186,02F0,013F,FE0E,8A16,000A,0470,0B08,0C15,20DA,308C,191F,0351,009B,0014,0004
0037,0186,02E8,013C,FE0E,8A26,000C,0B94,20FC,321F,18E7,038D,0081,001B,0003,0000,0001
0038,0186,02E9,013E,FE10,8A03,000C,0B3A,2122,324D,19A8,0355,0080,0010,0001,0000,0001
0039,0186,02EC,0141,FE0E,8A10,000C,0B61,217A,321B,18BC,0367,0075,0017,0001,0000,0001
003A,0187,02EF,013F,FE0F,8A12,000C,0BA8,20D7,3288,18C7,0385,006B,000F,0000,0000,0001
003B,0184,02EC,013E,FE0C,8A09,000B,0A9A,0B55,206C,3258,197A,0372,0079,0013,0002,0001
003C,0186,02E8,013F,FE0E,8A0F,0009,03DC,0A5F,0B42,204D,32CC,1983,0363,007F,0014,0000
003D,0184,02EF,0140,FE0F,8A02,000C,0B53,1FD6,318B,19BA,03E1,0081,000D,0002,0002,0001
003E,0184,02EC,013F,FE10,8A08,000B,0A8F,0B3B,2076,3229,19D2,035E,0072,0016,0001,0003
003F,0184,02E9,0143,FE0F,8A0D,000A,03F9,0AA6,0B48,2055,3214,1996,0396,0076,0019,0002
