Report: 2017-07-14_AA0003_r-014-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 014-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/26,16:24:47
Report date/time: 2017/07/27,16:23:54
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0033,018E,02EE,013C,FE0F,8A3B,000B,1426,14E2,239E,2646,0CEA,01E6,006D,0019,0002,0001
0034,018E,02EC,013C,FE0E,8A32,000C,1569,22BB,2676,0DAC,0202,006E,000E,0001,0001,0001
0035,018E,02EE,013F,FE10,8A36,000B,136E,1518,2300,26A5,0DB3,01F8,0072,001D,0006,0001
0036,018E,02EF,013F,FE0F,8A3D,000B,1365,14B2,2332,26E4,0DB4,0219,007B,0006,0001,0001
0037,018F,02EF,013E,FE0E,8A39,000B,1363,14B8,231D,26A4,0DD7,0221,007D,0015,0001,0004
0038,018D,02EC,0140,FE10,8A31,000C,1508,2427,268E,0D35,0234,006D,0013,0000,0000,0001
0039,018D,02EC,013F,FE0F,8A38,0009,0761,1379,1592,23BD,264E,0D36,0207,0072,0012,0000
003A,018C,02EE,0141,FE0E,8A35,000B,12DE,14E0,23F1,2745,0D4C,01FF,0071,001A,0001,0002
003B,0189,02EB,013E,FE10,8A35,000A,074E,1323,156B,2488,264E,0CBE,0228,0086,0013,0004
003C,018D,02F0,013E,FE0F,8A37,000A,0717,129A,14BE,23EF,277D,0DD7,020C,0064,0012,0003
003D,018C,02EE,013F,FE0E,8A37,000A,075B,12BE,14F3,24D9,266D,0D2F,0228,006D,001F,0002
003E,018D,02EC,013E,FE0F,8A36,000A,0734,12CA,14CD,246B,271A,0D61,020D,0063,0014,0001
003F,018B,02F0,013F,FE0C,8A33,000C,14D4,2480,26B0,0DFE,0211,0071,0011,0003,0001,0001
0040,018B,02EE,013C,FE13,8A30,000B,1264,1527,2485,2714,0D49,020E,0067,000F,0001,0001
