Report: 2017-07-14_AA0003_r-015-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 015-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/27,16:23:54
Report date/time: 2017/07/28,16:23:02
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B6

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0032,0191,02F0,013E,FE0B,8A3D,0009,0B2D,16B2,1375,22F5,2528,0A40,0208,006D,0017,0000
0033,0191,02F0,013E,FE0F,8A31,000B,175C,12AB,23EE,24DE,0943,01FA,0073,000C,0002,0001
0034,018E,02E9,013C,FE12,8A34,000A,0B8C,172C,133A,239D,24DC,0938,020E,0069,0019,0001
0035,0190,02EF,013E,FE13,8A3B,000A,0BAC,16C8,1351,2487,2449,08F4,0234,006B,0010,0003
0036,018E,02F1,013E,FE0C,8A34,000A,0B74,16FD,128A,2546,23F8,0987,01F3,006E,0011,0002
0037,018E,02EC,013E,FE0C,8A33,000C,128D,24E3,24FF,094F,0229,0067,000E,0001,0001,0001
0038,018E,02EE,013F,FE07,8A2E,000B,15F9,1382,2465,24B9,09C8,01F7,0070,0010,0000,0001
0039,018E,02F0,013F,FE0C,8A30,000B,1658,1317,23DB,24E3,09FB,022F,0069,0012,0001,0001
003A,018D,02EC,013E,FE0C,8A1F,0009,0B61,1695,1266,2533,24BB,0950,0209,006D,000F,0000
003B,018D,02F0,0139,FE0E,8A32,000D,2522,24B6,0937,0219,0064,0012,0000,0002,0001,0001
003C,018D,02F0,013F,FE11,8A39,000A,0B6F,1660,1318,24A6,24BF,0976,0201,0067,000D,0002
003D,018B,02EC,013F,FE0C,8A3A,000B,15D0,12AF,256E,2536,08EE,0211,006C,0012,0001,0001
003E,018D,02F1,013C,FE0C,8A28,000C,12C1,24CB,24C6,097E,0221,0061,0007,0002,0000,0001
003F,018E,02EF,013E,FE0F,8A2A,000B,15C0,1217,261E,2553,0965,021A,005F,0010,0002,0001
0040,018B,02F0,0146,FE0E,8A30,000A,0AFD,164A,1252,25E1,2440,09C4,0237,0064,0012,0005
0041,018E,02EB,013F,FE0C,8A29,000B,15FA,129A,25A7,2530,094C,0209,0071,000B,0002,0001
0042,018B,02EE,013E,FE0C,8A21,000B,15B8,125B,25C1,2553,0971,0225,0071,0017,0001,0001
0043,018B,02EE,013F,FE0E,8A3A,000C,1250,25DA,24E3,0997,023E,0082,0017,0002,0000,0002
0044,018B,02EE,0140,FE0B,8A2B,0009,0AAB,1594,128C,268E,24B8,0994,0214,0060,0012,0000
0045,018B,02F0,013C,FE0C,8A2F,0009,0B36,1641,11F3,25C9,252A,094C,020C,0062,0018,0000
0046,018B,02EC,013C,FE11,8A24,000A,0B1A,159A,11F8,2642,2539,0951,021A,007E,0013,0001
0047,018B,02EC,013C,FE10,8A26,000D,25DD,2575,0A28,024B,006F,0017,0002,0001,0001,0001
0048,018B,02EC,013F,FE0E,8A28,000D,2640,24F1,0A21,021E,0066,0013,0003,0000,0000,0001
0049,018B,02EF,0143,FE0F,8A23,000C,1188,26BB,2539,09B2,026B,0066,0012,0003,0000,0001
