File,Sensor,tDays,Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High) 
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4061689815,0002,02EB,FBB8,003F,0008,8B9A,000A,071B,10E6,0F8B,2412,2758,133D,04BA,0088,0020,0005
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4103356481,0003,02EB,FBB9,003C,0010,8B9B,000A,0720,1116,0F22,2440,27E8,12E3,047D,0095,001C,000A
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4145023148,0004,02E9,FBB8,003F,000E,8B99,000A,070B,112C,0F10,239E,2796,13A5,04CA,0081,0027,0007
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4186689815,0005,02EB,FBB9,003B,000B,8B8F,000A,0743,113A,0EDF,23A6,277A,1355,0513,007F,0021,000B
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4228356481,0006,02EB,FBB8,0040,000C,8BA0,000A,0720,111D,0F1C,2379,2801,1376,04A3,0088,0026,0006
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4270023148,0007,02E9,FBB8,003E,000C,8BA7,000A,0731,114C,0EED,23E8,26FD,1387,0518,008B,0024,000A
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4311689815,0008,02EB,FBB8,003F,0008,8B9F,000A,073D,105B,0E9A,2478,2795,13D3,04D9,0083,0029,0008
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4353356481,0009,02EB,FBB8,0043,000C,8BA6,000A,06E3,10E7,0F24,23B8,2698,14AA,0503,007E,0032,000B
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4395023148,000A,02E9,FBB8,003C,000F,8B9F,000A,070E,1083,0F62,22EC,2765,14B7,04F0,008C,001F,0009
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4436689815,000B,02E9,FBBC,003E,000E,8BA3,000A,070D,10AA,0F4C,2444,26EB,13D5,04D0,0098,0023,0011
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4478356481,000C,02E8,FBB8,003F,000B,8B9B,000A,06E5,103F,0EF1,23D8,27A6,145C,0506,007C,001C,000E
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4520023148,000D,02E5,FBB8,003F,000C,8B98,000A,06A4,10AB,0EE4,240D,2788,143C,04F2,0078,001E,000C
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4561689815,000E,02EB,FBBB,0043,0008,8B9D,000A,06E6,1049,0EF4,2497,2737,1405,04FF,0081,0022,0005
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4603356481,000F,02E9,FBB8,003F,000C,8BAD,000A,06B7,1049,0F98,23AE,2750,143F,0516,009A,0022,0006
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4645023148,0010,02E8,FBB8,003F,000F,8B98,000A,0696,100D,0F1A,23B7,27A8,14BE,0516,0088,0019,0007
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4686689815,0011,02E8,FBB9,0040,0007,8BA5,000A,069D,1016,0ED2,23B4,27CD,1469,0570,009D,0024,0005
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4728356481,0012,02E8,FBBB,003E,000B,8BA0,000A,065D,1014,0EC7,23B3,2711,155F,0577,0092,0036,0006
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4770023148,0013,02E8,FBBA,003C,000F,8B9C,000A,06BB,0FEB,0E8F,2360,2716,15C1,055A,009F,0026,0011
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4811689815,0014,02E8,FBB8,003F,000C,8B93,000A,066C,0FB7,0E3B,238E,274E,1610,0579,00A4,0023,0009
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4853356481,0015,02E8,FBB8,003F,0008,8BA6,000A,05F9,0F11,0E70,2373,279F,16E5,056E,0091,002B,000B
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4895023148,0016,02E8,FBB8,003F,000B,8B96,000A,05F2,0EF6,0E95,23D9,27CE,15F3,05AD,00A2,0021,000F
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4936689815,0017,02E9,FBB9,0041,000E,8BA4,000A,05EB,0F10,0F3D,2330,2745,1670,05B3,00A4,0025,000B
2017-06-29_AA0007_r-037-03.txt,AA0007,36.4978356481,0018,02E0,FBBB,003C,000F,8BA1,000A,05C0,0F42,0EC5,238D,2726,16E1,057A,00A1,0024,0007
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5020023148,0019,02E8,FBB8,003E,000C,8B99,000A,05C1,0EC6,0F39,2337,27B0,167C,0597,00AD,0027,000B
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5061689815,001A,02EB,FBB8,003C,000C,8B9B,000A,05C3,0EFB,0EFC,2405,26D8,16B1,057D,00AD,0024,0005
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5103356481,001B,02E8,FBB9,003E,000E,8B96,000A,05F8,0ED3,0E43,2382,26CC,175F,0615,009D,0022,0007
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5145023148,001C,02E5,FBB8,003F,000C,8B96,000A,05EA,0F1A,0EBC,2381,2712,16F3,0585,0099,0023,000F
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5186689815,001D,02E5,FBB9,003F,000F,8B97,000A,053E,0EC1,0E7E,23FC,27D4,16DA,05B9,008F,001C,000C
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5228356481,001E,02E8,FBB8,003F,000C,8B8D,000A,05A1,0E8A,0EB7,2381,274F,1717,05FF,0092,002A,0009
2017-06-29_AA0007_r-037-03.txt,AA0007,36.5270023148,001F,02E6,FBB8,003F,000C,8B8D,000A,05AD,0F2D,0E9E,240F,26EA,1676,05CD,00AE,0024,0007
