Report: 2016-07-19_AA0006_r-029-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 029-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/16,00:35:39
Report date/time: 2016/08/16,08:35:43
Secs per rec: 0168
# of recs: 0050
Battery level: 02BD
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01D5,FD67,FD09,FEC3,945B,000C,0A0A,13A9,2ED6,28CA,0E94,030E,00B5,000C,0000,0002
0001,01D5,FD67,FD08,FEC4,9475,000A,03E4,0A34,0AC9,15CF,329C,2914,0962,0086,0028,0005
0002,01D5,FD67,FD07,FEC0,945C,000A,03C1,0A59,0B37,1585,3338,28B9,08C9,00A4,0027,0001
0003,01D5,FD69,FD07,FEC6,9456,000A,03C1,0A85,0B3C,15EE,32F1,2852,08CF,008B,0041,0008
0004,01D5,FD67,FD0A,FEC0,9454,000A,03E8,0A23,0B2A,15D6,321E,293A,090E,00A6,003A,0003
0005,01D5,FD67,FD08,FEC6,9456,000A,03E5,0A06,0B34,15BC,332C,2855,0921,00A6,0032,0001
0006,01D5,FD67,FD08,FEC3,9474,000A,03F5,0A6D,0AFC,160F,3220,2912,0915,0088,0034,0004
0007,01D5,FD69,FD07,FEBC,947E,000A,03C3,0A2C,0ABC,1632,32E5,287E,096F,00A8,0025,0002
0008,01D6,FD69,FD07,FEC3,945D,000A,03DE,0A6F,0B00,1622,3269,28BE,08F2,009F,0035,0001
0009,01D5,FD67,FD0C,FEC3,9464,000A,03DA,0A2B,0B38,162F,322D,2900,0904,0085,003F,0003
000A,01D5,FD67,FD0C,FEC0,9465,000A,03E2,0A21,0B22,161E,325F,28B6,092D,009E,003C,0006
000B,01D5,FD67,FD07,FEC3,944D,000A,03C8,0A19,0B38,167E,329F,285A,08EB,0096,0035,0007
000C,01D5,FD67,FD09,FEC3,9478,000A,03E0,0A4E,0AD2,15FB,3275,28D7,0954,00A7,0031,0005
000D,01D5,FD66,FD09,FEC1,945E,000A,03DD,0A3E,0B34,15FA,32FD,284F,0905,0090,0033,0001
000E,01D5,FD67,FD0B,FEC0,9456,000A,03B0,0A68,0AE1,1672,3291,28B9,08BE,00A6,0038,0005
000F,01D5,FD67,FD08,FEC1,944D,0009,03DE,0A28,0B10,15C0,32A0,293E,08D4,0098,002D,0000
0010,01D5,FD68,FD09,FEC3,946B,000A,03C5,0A2A,0AE3,165D,32D5,28CA,08CB,0091,003D,0004
0011,01D5,FD66,FD07,FEC1,947F,000A,03A3,0A07,0B13,1645,32AA,2898,0970,0098,0030,0003
0012,01D5,FD69,FD0C,FEC1,9455,000A,039C,0A27,0B32,1643,3309,287C,08E0,0081,0033,0004
0013,01D5,FD67,FD08,FEC3,9465,000A,03B4,0A01,0B20,15E4,324A,296F,0927,008F,003B,0002
0014,01D4,FD64,FD09,FEC3,9471,000A,03E2,0A6F,0AE4,1651,3250,28B9,0910,0095,0039,0004
0015,01D4,FD67,FD08,FEC1,947E,000A,03D6,09D3,0B15,15F5,337D,2853,0936,0094,002D,0004
0016,01D5,FD67,FD07,FEC0,9463,000A,03FD,0A27,0B18,15D0,336A,2875,08A7,0093,0039,0005
0017,01D5,FD67,FD0C,FEC3,9469,000A,03B8,0A71,0B63,15DC,32E8,287B,08C2,00A2,0038,0002
0018,01D5,FD67,FD08,FEC1,9460,0009,03B7,0A42,0B5A,15D1,32BF,281A,097F,00B1,0033,0000
0019,01D5,FD67,FD09,FEC6,9478,000A,040C,0A26,0B01,15F9,322D,290F,0932,00AE,002F,0001
001A,01D5,FD66,FD09,FEC0,946A,000A,03AD,09EA,0AF9,1640,331F,288D,0931,008A,002E,0005
001B,01D5,FD67,FD09,FEC1,945F,000A,03FA,0A1A,0B24,15DE,3255,294A,08EA,008F,0030,0001
001C,01D5,FD67,FD09,FEC3,9445,000A,03F8,0A48,0B6D,1679,32ED,2822,084D,0090,002B,0008
001D,01D4,FD66,FD0B,FEC3,944F,000A,040E,0A4D,0B8D,1625,32D1,2874,084A,0085,002B,0003
001E,01D4,FD6B,FD08,FEC0,946A,000A,03F6,09FD,0B0A,1646,3318,285F,08EC,008C,0030,0008
001F,01D5,FD67,FD08,FEC1,9478,000A,042A,0A4C,0B83,165E,335E,2781,086B,009A,003C,0001
0020,01D4,FD67,FD08,FEC4,9469,000A,03CD,0A62,0B79,1627,331E,27E4,08D5,0087,003A,0002
0021,01D4,FD64,FD08,FEC3,9453,000A,03D9,0A2A,0BB3,1607,32FB,2869,087F,007E,0031,0004
0022,01D4,FD67,FD07,FEC0,9458,000A,03C5,0A0A,0B74,15F3,338A,2827,0885,00AA,003F,0003
0023,01D4,FD68,FD09,FEC7,9456,000A,03FC,0A13,0B48,1681,32A9,2886,0887,0085,003E,0005
0024,01D4,FD67,FD07,FEC7,9448,000A,03D6,0A06,0B98,160D,326D,28AF,08F0,0080,003A,0001
0025,01D4,FD67,FD09,FEC3,9441,000A,03B7,0A32,0B8F,15B4,3272,2904,08E3,0087,0031,0004
0026,01D4,FD68,FD08,FEC7,945E,000A,03CF,0A51,0B38,15F2,3317,2847,08E3,00A2,002F,0002
0027,01D4,FD67,FD0B,FEC0,9455,000A,03F8,0A27,0B79,1654,3288,2877,089B,009D,002F,0003
0028,01D4,FD66,FD0B,FEC3,9451,000A,040A,0A57,0B70,161C,325E,2853,08D6,009E,003C,0003
0029,01D4,FD64,FD07,FEC0,942A,000A,03ED,0A5B,0BB0,15D1,32A6,2866,0889,0095,0031,0006
002A,01D3,FD67,FD08,FEC3,9451,000A,0401,0A3B,0B84,159C,3289,28A3,08FC,0099,0033,0001
002B,01D4,FD67,FD08,FEBF,9463,000A,03CE,09DA,0B18,163A,3342,2813,094A,0098,0030,0002
002C,01D4,FD68,FD09,FEC6,946C,000A,03C2,0A64,0B21,16A2,32A3,2854,08B9,009C,0032,0005
002D,01D3,FD67,FD08,FEC0,945B,000A,03F6,0A8D,0AE5,164D,32C1,2898,0884,0088,0038,0009
002E,01D5,FD67,FD09,FEC3,945E,000A,03DA,0AF8,0B63,161D,3272,27CD,0912,008A,002F,0002
002F,01D3,FD67,FD08,FEC1,945B,000A,0425,0A5A,0BAE,15FC,3363,2799,0888,007E,002D,0003
0030,01D4,FD67,FD09,FEC6,9438,000A,03E1,0A95,0BB9,15BF,3272,2891,0888,0087,0037,0001
0031,01D4,FD67,FD08,FEC4,944E,000A,03D5,0A91,0B38,161B,3315,2826,088E,009C,002F,0001
0032,01D3,FD66,FD09,FEC1,9443,000A,03E4,0AAB,0B2E,1635,3267,288B,0880,00A5,0036,0004
0033,01D3,FD67,FD08,FEC4,9433,000A,03C9,0ABA,0B74,15E6,32D0,27FD,08C6,0097,0026,0006
0034,01D2,FD68,FD07,FEC4,9469,000A,03D8,0A88,0B46,160E,3308,27B0,093C,0093,002B,0003
0035,01D2,FD68,FD0B,FEC0,9453,000A,03E4,0A6C,0BA5,161B,32A2,2847,087D,00A2,0037,0004
0036,01D4,FD68,FD09,FEC6,9437,000A,03D3,0A9E,0BA6,15FB,3300,27FA,086E,008A,002F,0004
0037,01D2,FD65,FD08,FEC0,9440,000A,03FF,0A99,0B53,15FF,32C4,2810,08B0,0098,0034,0006
0038,01D2,FD67,FD08,FEC3,945D,000A,03BA,0A90,0BAE,15D7,32E8,286F,0876,008F,002F,0003
0039,01D2,FD68,FD09,FEC4,945A,000A,03E5,0AA4,0B63,1652,3356,27AF,084D,0098,0030,0002
003A,01D1,FD67,FD08,FEC1,945D,000A,0400,0A91,0B3A,157F,333D,2824,08DE,0092,003C,0006
003B,01D2,FD66,FD0C,FEC6,944F,000A,041B,0A53,0B81,161C,320B,28A0,08C5,009F,0030,0005
003C,01D2,FD67,FD09,FEC0,9457,000A,041C,0A29,0BA6,165D,326E,2852,0890,007F,003C,0004
003D,01D1,FD67,FD0B,FEC3,942F,000A,03FB,0A5C,0BA1,162F,3274,285B,087B,0086,0036,0002
003E,01D1,FD67,FD07,FEC3,9442,000A,0432,0AB7,0B91,16A5,329E,2789,0829,00A4,002A,0005
003F,01D2,FD64,FD08,FEC3,9410,000A,03E6,0AB6,0B87,1636,3285,2815,0856,0099,002D,0001
0040,01D1,FD68,FD08,FEC3,9440,000B,0AD7,0B64,1613,32F4,27A9,0875,0094,004F,000C,0001
0041,01D1,FD68,FD08,FEC1,9465,000A,040A,0A82,0B22,16FF,33B6,273B,0830,0070,0025,0002
0042,01D1,FD67,FD08,FEC6,9468,000A,042C,0AB6,0B4F,16AF,32C0,27DB,085F,0072,0018,0004
0043,01D1,FD68,FD07,FEC4,9444,000A,0436,0A92,0B9B,1603,32B1,27E5,0887,0091,002C,0004
