Report: 2016-07-19_AA0006_r-035-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 035-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/21,16:43:45
Report date/time: 2016/08/22,00:43:47
Secs per rec: 0168
# of recs: 0050
Battery level: 02B8
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C4,FD66,FD08,FEC3,93D8,000C,093D,1686,2F03,2541,0F3C,0298,0093,0009,0000,0002
0001,01C4,FD66,FD08,FEC1,93DA,000A,0499,0AE6,0A0B,18DD,3239,23BF,0AB8,0089,0036,0004
0002,01C4,FD63,FD08,FEC0,93C9,000A,0473,0B33,0A40,1892,32EA,2357,0A2E,009F,0041,0002
0003,01C4,FD67,FD08,FEC1,93B2,000A,0430,0AAB,09FD,1813,3217,250F,0AC5,0092,0044,0006
0004,01C4,FD66,FD08,FEC3,93BD,000A,043B,0AE1,0A28,1851,327E,2461,0A56,00A9,0040,000A
0005,01C4,FD67,FD09,FEC0,93EA,000A,0470,0AE9,0991,185F,327F,2430,0AFA,00A8,004E,0002
0006,01C4,FD64,FD09,FEC3,93F7,000A,042E,0AC5,0A0C,1847,3217,249A,0B03,00B7,0040,0006
0007,01C6,FD67,FD0C,FEC3,93E1,000A,0403,0A74,09E9,17C6,31CF,2602,0B01,0099,004B,0005
0008,01C7,FD67,FD09,FEC3,93BF,000A,040E,0A3D,0A72,17DA,32CB,24B3,0AE0,0087,0040,0003
0009,01C6,FD63,FD08,FEC3,93C8,000A,03FE,0AB8,0A2E,173D,31E6,25A6,0B43,009D,0036,0005
000A,01C6,FD67,FD09,FEC7,93D1,000A,03FF,0A88,0AA2,17B4,3241,24B3,0B23,0097,003E,0008
000B,01C4,FD64,FD0B,FEC1,93D9,000A,044E,0AF7,0A29,182F,32AA,23C0,0AFF,0090,0039,000A
000C,01C7,FD63,FD0C,FEC0,93E2,000A,0445,0AFE,0A2D,1810,32A1,243F,0AAF,008D,0040,0006
000D,01C7,FD66,FD08,FEC4,93E8,000A,0477,0B04,0A25,1873,3253,23A8,0AEC,00AF,0035,000A
000E,01C7,FD66,FD09,FEC6,93C8,000A,044E,0ABA,0A16,1822,322C,24C6,0AAA,00AA,003D,0005
000F,01C7,FD66,FD08,FEC6,93DF,000A,0451,0A78,09E0,1833,3227,24E2,0B2A,0092,0036,0008
0010,01C7,FD66,FD0C,FEC3,93DC,000A,0459,0A4D,0AF2,177D,3281,246D,0AF7,009F,003E,0005
