Report: 2016-07-19_AA0006_r-017-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 017-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/04,08:33:39
Report date/time: 2016/08/04,16:33:43
Secs per rec: 0168
# of recs: 0050
Battery level: 02CC
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B5,FD67,FD08,FEC3,932E,000A,0364,08ED,0AF2,11C7,28E3,2ECB,0E88,032E,00B1,000F
0001,01B4,FD67,FD0C,FEC0,9342,000A,03EE,0A4C,0C0E,1350,2C17,2F32,09B4,0082,0029,0002
0002,01B6,FD66,FD09,FEC1,9348,000A,03A1,0AA9,0C0E,1310,2C48,2EE2,09E5,0098,0032,0007
0003,01B5,FD67,FD08,FEBE,9356,000A,03B6,0AAC,0C79,133C,2C32,2E59,09E7,0088,0040,0005
0004,01B5,FD67,FD0C,FEBC,9341,000A,03CB,0A4A,0C3A,1326,2CFE,2E3C,09C4,0083,0045,0006
0005,01B5,FD68,FD08,FEC1,9340,000A,03CC,0A59,0C8D,1338,2BE7,2F1C,09A6,0077,0031,0005
0006,01B5,FD66,FD0B,FEC2,934A,000A,03AF,0A38,0C0A,13DB,2C5B,2EE7,096C,00A2,002B,0003
0007,01B5,FD68,FD0B,FEC0,934A,000A,03D5,0AB5,0C2A,1374,2C5E,2E62,09B5,0079,002F,0005
0008,01B4,FD67,FD0C,FEBC,9369,000A,03C2,0A94,0C8A,1338,2C9B,2E4E,09A6,0085,0037,0006
0009,01B4,FD67,FD0F,FEBF,934F,000A,03E4,0A4F,0C60,1303,2C62,2EC4,09BC,0089,004B,0003
000A,01B6,FD67,FD07,FEC7,9333,000A,040A,0AC2,0BF7,13B4,2BB6,2E8B,09AA,0093,003B,0003
000B,01B4,FD68,FD0E,FEC3,9335,000A,03DC,0AB3,0C79,12FF,2C94,2E5E,097E,0085,0037,0002
000C,01B4,FD67,FD09,FEC0,933F,000A,03ED,0A83,0C8C,135F,2BAA,2EB2,09AC,00A1,0038,0003
000D,01B5,FD67,FD0C,FEC0,9357,000A,03B0,0ABD,0C8D,13AB,2C09,2E3D,09C3,007B,002D,0001
000E,01B4,FD68,FD0B,FEC0,9343,000A,03F1,0A96,0C80,12FC,2CAC,2E71,0966,008E,002C,0003
000F,01B5,FD64,FD0B,FEC3,9349,000A,03E9,0A9E,0C53,134F,2CA4,2E34,098A,0085,0035,0004
0010,01B4,FD67,FD0B,FEC0,9328,000A,03CF,0A9B,0C52,13B4,2C5D,2E4E,0966,006F,0033,0005
0011,01B3,FD67,FD0C,FEBF,932B,000A,03D1,0AA0,0CAC,134B,2C6E,2DE6,09AC,008B,002E,000A
0012,01B3,FD67,FD0B,FEC0,932C,000A,03D1,0AE2,0C37,141B,2C3D,2DB0,0969,00A1,002D,0003
0013,01B3,FD67,FD0C,FEC1,9325,000A,038C,0A72,0C60,13F6,2C6D,2DF6,09A8,0090,0030,0006
0014,01B3,FD67,FD0B,FEC0,9325,000A,03A7,0A94,0C3B,13A4,2CB2,2DC3,09DF,007D,0037,0003
0015,01B3,FD63,FD0C,FEC0,9331,000A,03FC,0ACD,0C67,134F,2BD6,2E57,09BF,0087,003A,0005
0016,01B3,FD68,FD07,FEC0,935B,000A,03B0,0A8E,0C22,1380,2C64,2EAB,0984,009F,0044,0005
0017,01B3,FD67,FD09,FEC1,933E,000A,03BF,0A63,0C54,1399,2C9C,2E31,0995,008F,0036,0008
0018,01B3,FD67,FD0C,FEC0,934E,000A,03CF,0A1F,0C80,1323,2C9A,2E7F,09E5,008B,002A,000A
0019,01B3,FD67,FD09,FEC3,9363,000A,03A2,0A8D,0C7A,1377,2C94,2E65,0994,007E,0032,0006
001A,01B3,FD67,FD0C,FEC1,9357,000A,03DE,0ABB,0C25,135F,2C71,2E7E,097B,008F,003B,0006
001B,01B3,FD67,FD08,FEC3,9340,000A,03D1,0A92,0C12,13DC,2CA2,2E3D,094A,007D,003C,000D
001C,01B4,FD66,FD0F,FEC0,9316,000A,03DD,0ABC,0C74,135F,2C7C,2E0C,096D,0070,0041,0004
001D,01B3,FD67,FD0B,FEC0,9328,000A,03A3,0AAE,0C95,1355,2C1B,2E0E,0A01,009C,0022,0005
001E,01B3,FD67,FD07,FEC0,932C,000A,041A,0A8B,0CAF,13D8,2C5A,2D83,0954,008C,003C,0007
001F,01B3,FD66,FD0B,FEC0,930C,000A,03A0,0AA7,0CEA,13EA,2C21,2DBB,096D,0074,0031,0003
0020,01B3,FD68,FD0C,FEC0,9318,000A,03DE,0B0C,0C55,13E4,2BE2,2DC7,0981,0099,002C,0006
0021,01B3,FD66,FD0C,FEC3,931B,000A,03D4,0AC3,0CDB,13C7,2BFD,2DDF,0953,0079,0037,0003
0022,01B3,FD67,FD06,FEC3,9313,000A,03E7,0A55,0C6B,13F8,2C5F,2E0B,0948,0093,002E,0001
0023,01B3,FD67,FD0C,FEC3,931E,000A,03AE,0AFC,0CC0,13E2,2C1B,2DB6,0942,008C,002C,0007
0024,01B3,FD67,FD07,FEC1,930B,000A,03C1,0AA3,0CD3,136B,2C36,2DD1,098E,008A,0041,0009
0025,01B3,FD67,FD09,FEC2,931E,000A,03B1,0A88,0C45,138F,2C45,2E80,0991,0083,0036,0002
0026,01B3,FD67,FD0C,FEC0,9326,000A,03B4,0AA1,0C76,139D,2C6C,2E40,0950,0091,002D,0004
0027,01B3,FD67,FD0B,FEC2,9340,000A,03A5,0A61,0C7E,13F5,2CAE,2DFE,096B,0074,0038,0004
