Report: 2016-07-19_AA0006_r-015-03.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 015-03
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/02,08:33:19
Report date/time: 2016/08/02,16:33:23
Secs per rec: 0168
# of recs: 0050
Battery level: 02CF
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01B3,FD68,FD0E,FEBE,9310,000A,03E0,09C1,0A99,12F4,2B06,2AA5,0E47,033A,00AA,000C
0001,01B3,FD66,FD0E,FEBF,9335,000A,0479,0B8A,0BB6,1452,2F3F,2A12,090A,0095,0038,0002
0002,01B3,FD67,FD0C,FEC0,92FD,0009,0491,0B92,0BB8,149E,2F44,29DC,088F,009A,003B,0000
0003,01B4,FD67,FD0C,FEC0,92FA,000A,0471,0B7C,0BBF,14A3,2F83,2968,0904,0082,0039,0001
0004,01B3,FD67,FD0C,FEC0,9305,000A,0466,0B8F,0BDE,141A,2F35,29E8,0949,0084,002C,0002
0005,01B3,FD63,FD0C,FEC0,9320,000A,044D,0B7B,0BF9,14BB,2EB0,2A28,08F4,009F,0037,0002
0006,01B3,FD67,FD0E,FEC0,933B,000A,045C,0AE1,0C18,14B2,2F38,2A12,0934,0086,002E,0002
0007,01B1,FD63,FD07,FEC6,9337,000A,04A6,0B6A,0BAA,1432,2EEF,2A8E,091B,008D,0025,0001
0008,01B3,FD66,FD0B,FEC0,9305,000A,044E,0B37,0C0E,1479,2E0C,2B09,08E8,00B3,0047,0002
0009,01B1,FD67,FD0C,FEC0,92FC,000A,044E,0B2C,0BD0,1455,2E92,2B05,08E9,009E,003D,0002
000A,01B3,FD67,FD0C,FEC0,9319,000A,046B,0B27,0B96,1462,2F62,2A02,0967,008F,0034,0001
000B,01B2,FD67,FD08,FEBE,9323,000A,049F,0B8A,0BD2,13F3,2EFB,2AB9,08B6,0088,003F,0004
000C,01B3,FD68,FD0F,FEC0,9303,000A,044D,0B08,0BD9,14E7,2EE7,2AAE,0899,0087,0036,0003
000D,01B2,FD67,FD0E,FEBE,9314,000A,0454,0ADA,0BC6,13DE,2FBA,2A53,0957,00A1,003B,0002
000E,01B3,FD63,FD0B,FEC0,9315,000A,045B,0AD6,0BB4,1470,2F11,2ABA,090A,00A1,0048,0002
000F,01B1,FD67,FD0C,FEBF,9322,000A,0463,0B5F,0B82,146C,2F25,2A86,08F8,0097,0036,0002
0010,01B3,FD66,FD0C,FEBF,92F2,000A,0470,0B21,0B7F,1439,2F00,2AF3,08CE,00A9,0039,0006
0011,01B1,FD67,FD09,FEC0,92F1,000A,042D,0AF4,0BBE,1485,2EC2,2AC7,092C,00A1,0036,0001
0012,01B1,FD64,FD09,FEC3,9312,000A,049D,0B07,0BE9,144B,2F16,2AC8,08A3,0084,0033,0002
0013,01B1,FD67,FD0C,FEC0,9315,000A,043C,0AEF,0BA0,1400,2F43,2B19,093C,008C,0025,0001
0014,01B1,FD64,FD0F,FEC3,92ED,000A,0428,0AFB,0BC5,1456,2EBF,2B17,08E2,00B6,0040,0001
0015,01B1,FD66,FD0B,FEC0,930C,000A,045D,0B18,0C2C,1449,2EDD,2A50,0914,00A4,003B,0002
0016,01B1,FD63,FD0E,FEC1,9303,000A,044E,0B17,0BBE,1444,2EEA,2AAC,092C,0092,0042,0006
0017,01B1,FD64,FD09,FEC0,92E7,000A,0457,0AF6,0C0E,145A,2EAA,2AB7,08FC,0098,003A,0003
0018,01B1,FD61,FD0D,FEBC,92FC,000A,0471,0B15,0B85,13DE,2EC7,2B24,093E,00AE,003B,0001
0019,01B1,FD6C,FD0C,FEBF,92F2,000A,046A,0AB6,0BB2,1419,2ECF,2B4A,092C,008D,0033,0002
001A,01B1,FD69,FD0C,FEBE,92FB,000A,03FC,0ADE,0BED,1426,2F0F,2B00,0934,008E,0039,0004
001B,01B0,FD68,FD0C,FEC0,9312,000A,0470,0AE5,0C6D,13B6,2ED8,2B12,08B9,00A4,004F,0004
001C,01B1,FD6B,FD0C,FEBF,9314,000A,046C,0B67,0BBE,13E9,2EBD,2B7C,08AB,008F,0024,0003
001D,01B1,FD66,FD09,FEC1,9309,000A,042D,0B07,0BF0,141E,2EC8,2B21,0912,008C,003B,0005
001E,01B0,FD6B,FD0B,FEBE,92F9,000A,0434,0A88,0B97,1340,2F09,2BFD,09A4,007E,003A,0004
001F,01B1,FD67,FD0C,FEC0,92FA,000A,044F,0AB1,0B93,13C3,2F1D,2B77,0945,0093,0036,0002
0020,01B1,FD65,FD0C,FEC0,92FE,000A,0467,0ADF,0C1D,13FD,2EE8,2AD7,090B,0095,003B,0004
0021,01B0,FD63,FD0B,FEC0,92F0,0009,0432,0AF2,0B79,13D1,2ECC,2B61,0990,009B,002A,0000
0022,01B1,FD67,FD0E,FEBC,92F1,000A,0406,0AAA,0BD2,13B7,2F4C,2B5C,0940,0086,0043,0007
0023,01B1,FD66,FD09,FEC0,9306,000A,0445,0ACC,0BF7,13A9,2EAD,2BB1,0938,008D,002D,0005
0024,01B0,FD67,FD0C,FEC0,9307,000A,0460,0AD8,0B3F,1434,2F63,2B08,091D,0091,003F,0004
0025,01AF,FD63,FD0C,FEC0,92E6,000A,0479,0AA5,0BA8,1413,2F05,2AF0,092D,00A0,0047,0004
0026,01B1,FD67,FD0C,FEC0,9315,000A,049A,0B1B,0B97,1364,2F29,2B7D,08F7,0092,0032,0004
0027,01B0,FD67,FD0B,FEC2,9309,000A,0429,0AE7,0C17,13EE,2ED7,2B2B,092C,008B,0038,0003
