Report: 2016-07-19_AA0006_r-028-01.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 028-01
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/14,16:35:26
Report date/time: 2016/08/15,00:35:29
Secs per rec: 0168
# of recs: 0050
Battery level: 02BE
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01CD,FD67,FD09,FEC3,9413,000A,03F2,0A32,0AAE,146B,304E,27DD,0BE4,0240,0078,000F
0001,01CC,FD64,FD09,FEC0,9424,000A,043B,0AE8,0B54,1606,3398,2782,07AD,009A,003E,0008
0002,01CE,FD67,FD07,FEC3,942D,000A,048F,0B4C,0AD8,162E,3380,26E7,0822,008A,0031,0008
0003,01CD,FD6C,FD08,FEBF,9440,000A,0465,0B05,0B40,1644,338C,26F8,07F6,009C,0035,0007
0004,01CD,FD67,FD0A,FEC0,941C,000A,0465,0B20,0B4F,15FA,3301,2768,07FA,00A2,0045,0004
0005,01CD,FD68,FD08,FEC3,9425,000A,046E,0AE3,0B1C,16F1,334E,26D2,07DF,0096,002A,0008
0006,01CD,FD64,FD08,FEC1,9405,000A,0440,0AF2,0BF9,1632,32ED,2739,07C9,0085,002B,0009
0007,01CC,FD68,FD0C,FEBF,9407,000A,043D,0AE3,0BEE,1660,33D4,2669,07A8,0088,0028,0004
0008,01CD,FD65,FD07,FEC0,9410,000A,0453,0B3A,0BB6,15C2,33A7,26F0,07B9,008C,002C,0003
0009,01CD,FD69,FD08,FEC3,9418,000A,0455,0AEF,0B5A,160D,33CD,26E7,07E3,008D,003D,000C
000A,01CE,FD67,FD08,FEC3,940A,000A,046D,0B0A,0C00,15E9,33E9,26A1,0751,0094,0033,0008
000B,01CD,FD66,FD08,FEC3,9422,000A,0432,0AFC,0BB5,167B,3329,26BA,080B,0094,0039,0009
000C,01CC,FD68,FD07,FEC3,943F,000A,0443,0AC6,0B41,160E,3421,2761,079B,009C,002C,0002
000D,01CD,FD64,FD08,FEB9,9428,000A,0429,0A9A,0BA3,165C,3407,26CE,07BD,0089,003E,000D
000E,01CC,FD64,FD0B,FEC3,9421,000A,043E,0AE4,0BB3,161C,3390,2729,0796,0098,003D,000C
000F,01CC,FD67,FD07,FEC7,941C,000A,0425,0AB6,0BDA,1621,3395,271D,07C8,0093,0037,0002
0010,01CE,FD68,FD09,FEC3,9403,000A,045C,0AC8,0BF4,1609,33EE,26C8,0750,0095,0040,0007
0011,01D0,FD67,FD07,FEC3,9428,000A,046D,0AF0,0BB0,162D,33C6,26C3,0784,00AC,002C,0009
0012,01CE,FD67,FD07,FEC6,9439,000A,0469,0AB5,0B89,1687,33F2,2683,07B0,0088,0057,0007
0013,01CE,FD67,FD08,FEC3,9454,000A,0454,0AAF,0B5C,166D,333A,2776,0809,0096,0033,0006
0014,01CF,FD66,FD09,FEC6,943F,000A,046C,0B41,0B4A,1636,3375,26F7,07D0,008B,0044,0007
0015,01CE,FD67,FD09,FEC0,9437,000A,0413,0B12,0B7F,162A,332A,27C7,07AF,008D,0031,000B
0016,01D0,FD67,FD07,FEC1,9431,000A,0432,0AC0,0BA7,161F,33FA,2714,0786,009C,003D,000C
0017,01CE,FD66,FD08,FEC0,945A,000A,044B,0B47,0B59,167B,3314,26DB,0836,0087,003C,000C
0018,01D0,FD66,FD09,FEC1,943F,000A,045B,0B09,0B6A,1647,336C,2728,07D6,007B,0040,0005
0019,01CE,FD67,FD09,FEC0,946B,000A,0456,0AF5,0B53,16C4,336E,2693,0830,0095,003C,0007
001A,01D0,FD67,FD0B,FEC3,9459,000A,044E,0B47,0B72,1655,33E5,2680,07C9,008B,0039,000B
001B,01D1,FD64,FD08,FEC7,943D,000A,042B,0ADC,0BA0,16AB,3305,2760,07C6,0087,0035,0004
001C,01D0,FD67,FD08,FEC3,9443,000A,0499,0B4F,0BD5,16A4,32D3,267D,07C1,0093,0037,0007
001D,01CF,FD67,FD08,FEC0,9453,000A,045D,0AAB,0BC2,16CD,3404,2663,07AA,007D,002A,0004
001E,01D0,FD66,FD0C,FEC7,9450,000A,0438,0B01,0B9E,1691,3268,27EF,07C6,0090,0034,0007
001F,01D0,FD67,FD0A,FEC3,9448,000A,041A,0AE4,0C03,1647,334C,276C,0776,0095,0037,0006
0020,01D1,FD68,FD09,FEC3,9443,000A,043A,0B28,0B7A,1648,335C,2704,07E4,008E,0041,000C
