Report: 2016-07-19_AA0006_r-039-02.txt
Sensor ID#: AA0006
Installed: 2016-07-19
Comm ID#: C-AA0007
Days active & report #: 039-02
Nest location: 3514.2724N,07531.5887W
Start date/time: 2016/08/26,00:44:30
Report date/time: 2016/08/26,08:44:33
Secs per rec: 0168
# of recs: 0050
Battery level: 02B5
Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
0000,01C8,FD61,FD0C,FEC3,93DD,000A,0487,083D,059F,144A,3404,26A4,0E57,036F,00B3,000F
0001,01C9,FD63,FD0C,FEC3,93E8,000A,0524,0945,05CE,1798,39FB,2444,08F9,009C,0041,0004
0002,01C8,FD66,FD0C,FEC3,93E4,000A,0513,0948,0638,16E7,3902,2550,0940,009C,0039,0003
0003,01C8,FD63,FD0C,FEC1,93E3,000A,0555,098D,0634,17F3,387E,24CB,08E2,0076,0034,0005
0004,01C8,FD61,FD0E,FEC2,93DD,000A,0509,090F,0636,1720,3997,24DA,0936,0082,003F,0007
0005,01C8,FD63,FD0C,FEC3,93D8,000A,054C,095F,061F,1809,38E2,2480,08E9,0074,0041,0005
0006,01CA,FD66,FD09,FEC0,93E8,000A,051B,0990,05EB,1797,38DE,2534,08C8,0095,0045,0007
0007,01C9,FD63,FD0C,FEC4,93F2,000A,059D,093A,05AD,17E5,392A,24BE,08B8,009F,0044,0006
0008,01CA,FD66,FD0C,FEC3,93FE,000A,053D,0924,05C1,17CB,3949,24E8,0906,0096,0041,0003
0009,01C9,FD67,FD0C,FEBF,93E6,000A,0531,0925,05E1,17D6,38CB,2508,0938,0090,0038,0006
000A,01C9,FD63,FD09,FEC6,93E4,000A,0517,0954,066A,1782,38DA,24C9,090A,0094,004B,0001
000B,01C9,FD61,FD0B,FEC0,93DA,000A,0517,0952,0605,17F3,390A,24BC,0903,0075,0038,0003
000C,01C9,FD63,FD09,FEC3,93D8,000A,0520,0915,05D0,17DB,3A0A,2472,08A1,009B,003F,0001
000D,01CA,FD63,FD0C,FEC4,9405,000A,0563,0913,05FE,17A4,3957,2482,0935,009F,003B,0005
000E,01C9,FD63,FD0C,FEC3,93F8,000A,0542,088C,05A8,178F,39E6,24C3,0981,0083,0043,0003
000F,01C8,FD67,FD0B,FEC7,9408,000A,0522,0908,055A,1751,3925,25B5,0985,008D,0045,0002
0010,01C8,FD61,FD0B,FEC2,9405,000A,057B,08F5,05C3,171F,3920,2535,098D,0093,003B,0003
0011,01C8,FD66,FD0E,FEC4,93D9,000A,04EB,0929,061C,175B,39B6,24AE,091D,0082,0048,0003
0012,01C9,FD63,FD0B,FEC0,93D9,000A,056D,093C,0647,1843,38B8,2452,08CA,007E,0051,0003
0013,01C9,FD63,FD0B,FEC7,93FF,000A,0529,08F5,060C,172D,3958,25B7,08D3,0088,003B,0003
0014,01C9,FD67,FD09,FEC7,9407,000A,052C,0940,063E,170F,38F7,256C,0917,008D,0046,0001
0015,01CA,FD63,FD0A,FEC1,93E7,000A,0543,0944,0620,1796,38EF,255A,08B8,006A,003B,0004
0016,01C9,FD61,FD0E,FEC0,93E1,000A,04FC,0982,0610,17D5,38D5,24D2,08FB,0088,004E,0006
0017,01C9,FD63,FD09,FEC4,93FC,000A,0520,094C,05CE,1753,389D,25E2,0928,007B,004A,0003
0018,01C9,FD63,FD0F,FEC0,93ED,000A,0515,097C,0636,1708,3983,2513,08B7,008A,0043,0004
0019,01C9,FD63,FD0C,FEC3,93DF,000A,0508,0911,0637,17D4,3937,24D6,08CA,009F,0040,0005
001A,01C9,FD63,FD0C,FEBE,9406,000A,051E,0908,0614,16FF,3858,2609,0993,0096,003F,0004
001B,01C9,FD67,FD0F,FEC3,93DC,000A,0550,0946,0666,179E,38DC,24F3,08C4,0074,0033,0008
001C,01CB,FD61,FD0C,FEC0,93D5,000A,053D,091F,067A,1788,399F,2491,0876,008B,0042,0004
001D,01C9,FD63,FD0C,FEC3,93DC,000A,050D,099F,06BC,1731,3927,2479,08D9,009B,002C,0003
001E,01C9,FD66,FD0C,FEC0,93EC,000A,0545,0977,0675,1754,38EE,24B1,0900,0087,003E,0003
001F,01C8,FD63,FD0E,FEC1,93D9,000A,0520,0924,0629,17B5,394B,24EC,08AF,0082,004E,0001
0020,01C9,FD66,FD0C,FEC3,93E9,0009,053D,0938,062D,1787,38C9,24F3,094D,0086,0031,0000
0021,01C9,FD67,FD0C,FEC3,9401,000A,0531,0967,0629,1808,38F0,2492,08F8,0088,0033,0003
0022,01C9,FD63,FD0C,FEC3,93EB,000A,055A,0961,05D6,17D8,38FF,24CF,08DE,009F,0030,0007
0023,01C8,FD60,FD0B,FEC6,93E5,000A,0568,090B,059B,17EF,3994,24D0,08A4,0098,0043,0005
0024,01C8,FD61,FD0C,FEC3,93D0,000A,0589,092A,0607,1856,38FD,2445,08A7,0093,0040,0004
0025,01C7,FD61,FD0C,FEC3,9415,000A,0534,0910,05B1,177A,3989,24FA,096A,0077,003D,0005
0026,01C7,FD68,FD0C,FEC0,93F1,000A,055F,091F,0598,180A,391E,24C8,0919,0087,0043,0008
0027,01C9,FD61,FD0C,FEC3,93C7,000A,0576,0945,05F5,18B2,398A,2377,08A5,0086,0036,0003
0028,01C9,FD67,FD09,FEC3,93CB,000A,056E,092E,05E5,191C,3931,2367,08C0,008C,003F,000B
0029,01C7,FD63,FD0E,FEC0,93CF,000A,056E,0931,05F0,185E,3922,23F0,08F9,008C,0047,0004
002A,01C7,FD63,FD0C,FEC0,93ED,000A,0538,08E1,0583,18D0,3979,245F,08F5,008E,0024,0002
002B,01C7,FD63,FD0C,FEC3,93F4,000A,0598,0973,05E0,1881,398B,2368,08CC,0081,0044,0004
002C,01C8,FD66,FD0C,FEC7,9404,000A,0591,0913,0586,18A6,39A2,2407,08C9,007C,0044,0002
002D,01C8,FD61,FD0E,FEC2,93F4,000A,057B,08CF,057D,189B,39A7,243E,08DB,008C,0041,0005
002E,01C7,FD63,FD0C,FEC3,93BC,000A,05A8,0966,0578,1911,3A33,22D2,086A,0084,002D,0005
