tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,CalEn,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
36.44635417,333935,35265,9.469303842,798,887,64905,65192,4231721329.0,1626,2985,2095,6024,12307,8299,1704,192,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.45052083,333951,35264,9.470026089,794,881,64908,65191,4231845553.0,1618,2921,2053,5939,12446,8385,1716,149,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.4546875,335046,35263,9.501347021,792,880,64910,65191,4231974491.0,1664,2952,2073,6103,12144,8373,1747,160,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.45885417,337297,35267,9.564096748,794,880,64910,65191,4231974491.0,1634,2935,2145,6010,12116,8389,1840,158,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.46302083,333527,35260,9.45907544,792,883,64910,65187,4231716379.0,1559,2913,2067,6162,12411,8231,1724,153,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.4671875,336031,35260,9.530090754,792,881,64911,65190,4231975091.0,1596,2937,2049,6005,12398,8278,1790,171,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.47135417,338231,35250,9.595205674,791,883,64911,65187,4231781290.0,1581,2921,2061,5921,12390,8390,1775,159,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.47552083,337213,35250,9.566326241,792,881,64911,65196,4232366249.0,1594,2951,2003,6014,12317,8371,1784,182,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.4796875,335639,35257,9.519783305,792,883,64919,65191,4232561366.0,1653,2997,2061,5934,12198,8416,1791,180,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.48385417,336239,35255,9.537342221,794,881,64910,65191,4231975371.0,1629,2983,1972,6216,12096,8400,1738,170,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.48802083,335546,35252,9.518495405,792,883,64908,65190,4231782127.0,1648,2930,1992,6094,12182,8409,1804,159,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.4921875,336666,35251,9.550537573,792,880,64910,65187,4231713735.0,1628,2904,2003,6099,12246,8400,1761,166,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.49635417,333471,35249,9.460438594,792,883,64908,65191,4231847317.0,1675,2975,2046,6129,12104,8356,1772,157,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.50052083,339047,35252,9.617808919,794,883,64911,65190,4231976855.0,1726,2987,2052,5853,12212,8384,1793,196,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5046875,336426,35250,9.544,791,883,64908,65190,4231782127.0,1613,2970,2052,5938,12190,8487,1811,154,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.50885417,332956,35247,9.44636423,792,883,64908,65190,4231782127.0,1629,3014,2093,5913,12357,8311,1740,154,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.51302083,336985,35247,9.56067183,791,880,64908,65191,4231844673.0,1611,3093,1948,6019,12156,8404,1805,169,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5171875,332552,35251,9.433831664,792,883,64910,65191,4231977135.0,1687,3040,2046,6053,12229,8295,1688,170,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.52135417,335542,35239,9.521893357,791,883,64910,65191,4231977135.0,1678,2994,2040,6123,12021,8366,1817,163,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.52552083,335319,35249,9.512865613,792,880,64915,65187,4232038297.0,1656,3007,2066,6023,12235,8242,1813,165,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5296875,335809,35260,9.523794668,785,883,64910,65183,4231455639.0,1641,2995,2087,6160,12076,8210,1878,179,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.53385417,334375,35258,9.483663282,791,883,64913,65193,4232302254.0,1674,3083,2100,5971,12149,8254,1823,168,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.53802083,334650,35251,9.493347706,789,880,64912,65193,4232234697.0,1802,3038,2010,6078,12036,8275,1795,178,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5421875,336234,35245,9.53990637,792,883,64908,65191,4231847317.0,1697,2946,1922,6065,12156,8526,1723,168,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.54635417,334225,35248,9.482098275,789,883,64907,65195,4232043182.0,1715,2991,2025,6240,11918,8352,1807,161,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.55052083,337140,35243,9.566154981,792,883,64911,65185,4231650918.0,1655,2934,1937,6203,12132,8341,1830,167,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5546875,337865,35256,9.583191514,787,886,64913,65191,4232174523.0,1681,3015,1943,6065,12150,8396,1779,179,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.55885417,335362,35247,9.514625358,792,883,64908,65191,4231847317.0,1727,3050,1944,6102,12102,8336,1769,171,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.56302083,337318,35251,9.569033503,787,883,64911,65190,4231976855.0,1670,3048,2015,6004,12190,8326,1769,171,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5671875,334940,35245,9.503191942,789,880,64911,65187,4231778645.0,1585,2944,2006,6094,12335,8304,1780,162,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.57135417,336680,35250,9.551205674,787,880,64911,65183,4231517905.0,1607,2994,2043,6042,12193,8445,1694,186,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.57552083,332983,35252,9.44579031,792,883,64910,65190,4231911945.0,1636,3069,2023,6039,12300,8225,1765,158,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5796875,337867,35255,9.583520068,791,881,64910,65191,4231975371.0,1663,2947,2028,6024,12280,8303,1805,148,48,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.58385417,339956,35255,9.642774075,791,883,64911,65188,4231846477.0,1570,3032,1954,6130,12082,8398,1857,188,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.58802083,339396,35252,9.627709066,791,881,64908,65192,4231910745.0,1618,2962,1915,6049,12123,8482,1906,166,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5921875,340170,35255,9.648844136,789,883,64910,65191,4231977135.0,1628,2914,2022,5997,12119,8513,1847,169,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.59635417,334295,35270,9.478168415,791,883,64908,65190,4231782127.0,1715,2951,2016,6048,12338,8244,1750,160,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.60052083,336366,35257,9.540403324,796,887,64911,65184,4231589273.0,1649,3046,1876,6174,12071,8459,1778,163,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6046875,337730,35260,9.578275666,791,883,64911,65192,4232107237.0,1626,3064,2003,5875,12221,8475,1796,161,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.60885417,338450,35260,9.598695406,789,881,64911,65187,4231779526.0,1600,2952,1991,6047,12168,8502,1777,179,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.61302083,339182,35249,9.622457375,791,883,64910,65191,4231977135.0,1618,3056,2027,5932,12095,8494,1807,171,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6171875,340884,35251,9.670193753,792,881,64908,65190,4231780363.0,1573,3010,2027,5987,12080,8527,1816,170,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.62135417,336893,35259,9.554808701,792,886,64911,65192,4232109891.0,1582,2981,2000,5986,12248,8447,1846,133,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.62552083,337884,35253,9.584545996,791,883,64908,65198,4232303679.0,1649,2976,2012,6101,12000,8457,1853,166,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6296875,341352,35264,9.679900181,791,883,64905,65196,4231978565.0,1627,2926,1987,6045,12030,8533,1910,162,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.63385417,343566,35257,9.74461809,792,886,64910,65191,4231979789.0,1628,2966,1890,5913,12294,8446,1874,198,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.63802083,340295,35250,9.653758865,792,888,64910,65187,4231720807.0,1598,3019,1932,5951,12191,8481,1871,158,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6421875,341244,35262,9.677386422,792,880,64910,65191,4231974491.0,1659,2932,1888,5910,12120,8737,1811,159,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.64635417,342470,35256,9.713807579,794,883,64910,65191,4231977135.0,1609,2866,1962,5992,12166,8509,1933,184,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.65052083,338445,35256,9.599642614,792,880,64910,65191,4231974491.0,1599,3069,1968,6036,12132,8406,1837,159,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6546875,336280,35264,9.53607078,787,883,64911,65191,4232042046.0,1739,2978,2009,5963,12157,8407,1824,145,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.65885417,336890,35260,9.554452638,792,881,64904,65199,4232107489.0,1691,2934,2002,6164,11976,8489,1798,164,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.66302083,340300,35255,9.652531556,792,881,64908,65191,4231845553.0,1654,3070,2001,6063,11952,8355,1944,171,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6671875,345427,35262,9.796012705,792,886,64908,65188,4231654402.0,1607,2979,1952,5950,12009,8581,1949,187,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.67135417,341116,35257,9.675128343,794,881,64908,65190,4231780363.0,1551,2988,1906,5937,12133,8704,1842,157,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.67552083,346131,35258,9.817091157,796,880,64911,65193,4232169785.0,1669,2913,1939,5939,12144,8500,1906,177,63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6796875,341172,35262,9.675344564,796,883,64910,65191,4231977135.0,1641,3088,1906,5986,12007,8496,1924,178,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.68385417,340168,35270,9.644683867,798,883,64908,65188,4231651749.0,1609,2976,1966,5989,12195,8432,1897,166,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.68802083,340207,35264,9.647430808,794,881,64909,65190,4231845271.0,1750,2989,1873,6136,11974,8343,1997,160,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.6921875,341572,35261,9.686962934,792,883,64911,65191,4232042046.0,1704,3082,1809,5960,12097,8481,1911,166,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
