tDays,Actual day,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
34.49431713,35.49431713,296124,35551,8.329554724,756,479,64792,64999,1751,4510,5069,6077,8280,8433,1216,173,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49501157,35.49501157,292650,35569,8.227670162,764,480,64791,64998,1781,4584,5119,6071,8197,8448,1186,144,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49570602,35.49570602,297668,35577,8.366866234,762,480,64791,65000,1686,4514,5079,6281,8074,8478,1241,182,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49640046,35.49640046,299822,35587,8.425042853,764,480,64790,65007,1737,4600,4983,6056,8113,8606,1270,180,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49709491,35.49709491,290966,35603,8.172513552,771,479,64793,65001,1780,4600,5103,6316,8022,8430,1170,153,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49778935,35.49778935,300931,35612,8.450269572,771,480,64792,65006,1664,4475,4998,6203,8132,8635,1294,162,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.4984838,35.4984838,293837,35627,8.247593118,777,480,64792,64999,1720,4377,5200,6323,8107,8569,1137,159,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49917824,35.49917824,294498,35641,8.26289947,777,480,64787,65007,1637,4622,4926,6358,8118,8595,1221,134,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.49987269,35.49987269,298857,35650,8.383085554,776,478,64793,64999,1685,4461,5064,6199,8362,8376,1286,178,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50056713,35.50056713,303337,35674,8.503027415,782,478,64792,64999,1464,4245,5196,6345,8259,8734,1231,149,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50126157,35.50126157,299205,35665,8.389317258,786,478,64792,65000,1573,4269,5188,6440,8090,8626,1296,148,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50195602,35.50195602,303589,35676,8.509614307,789,478,64792,65006,1521,4177,5180,6407,8138,8717,1333,165,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50265046,35.50265046,302157,35712,8.4609375,791,479,64792,65006,1492,4157,5012,6516,8463,8566,1310,166,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50334491,35.50334491,309196,35729,8.653922584,795,476,64796,65004,1408,4062,4963,6410,8590,8669,1418,164,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50403935,35.50403935,307962,35746,8.615285626,798,480,64792,64999,1461,4066,4916,6286,8795,8598,1406,190,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5047338,35.5047338,311630,35758,8.714972873,801,478,64792,65000,1351,3836,4925,6444,8895,8599,1518,154,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50542824,35.50542824,313387,35762,8.76312846,807,480,64796,65001,1328,3973,4839,6354,8962,8558,1527,193,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50612269,35.50612269,314055,35786,8.775917957,810,480,64792,65000,1335,3885,4765,6480,9040,8502,1562,186,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50681713,35.50681713,322139,35797,8.9990502,812,473,64792,65003,1349,3829,4739,6202,9015,8856,1550,214,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50751157,35.50751157,318500,35790,8.899133836,813,480,64792,65000,1371,3896,4740,6327,8975,8645,1620,173,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50820602,35.50820602,323795,35811,9.041774874,818,480,64792,65006,1339,3779,4572,6418,9072,8619,1777,201,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50890046,35.50890046,318890,35839,8.897848712,822,479,64792,64999,1440,4072,4561,6282,9189,8325,1728,210,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.50959491,35.50959491,316994,35836,8.845685902,824,479,64793,65006,1390,3996,4543,6444,9389,8127,1699,217,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51028935,35.51028935,320357,35845,8.937285535,824,479,64796,65001,1369,3947,4535,6267,9530,8165,1802,191,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5109838,35.5109838,320374,35855,8.935267048,824,476,64793,65004,1453,4050,4446,6396,9293,8189,1798,182,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51167824,35.51167824,318310,35870,8.873989406,827,480,64792,64999,1437,3960,4413,6585,9394,8046,1793,216,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51237269,35.51237269,323538,35860,9.022253207,830,476,64792,65003,1308,3866,4414,6535,9406,8231,1862,206,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51306713,35.51306713,322744,35892,8.992087373,833,473,64793,65004,1414,3950,4297,6564,9553,8038,1810,228,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51376157,35.51376157,319398,35894,8.898367415,837,478,64792,65003,1478,3968,4381,6603,9480,7876,1866,200,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51445602,35.51445602,316378,35894,8.814230791,842,480,64792,65001,1509,4062,4364,6611,9443,7816,1860,200,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51515046,35.51515046,307161,35905,8.554825233,839,478,64793,64999,1625,4265,4350,6855,9389,7399,1810,188,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51584491,35.51584491,317060,35925,8.825608907,842,478,64793,65000,1519,4144,4208,6957,9370,7637,1817,232,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51653935,35.51653935,319400,35940,8.887033945,843,479,64792,65004,1549,4168,4242,6893,9617,7316,1860,229,46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5172338,35.5172338,317801,35944,8.841559092,843,479,64795,65004,1546,4165,4126,6796,9643,7598,1790,231,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.51792824,35.51792824,323417,35958,8.994298904,846,476,64793,65000,1530,3929,4008,6782,9679,7846,1921,223,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
