tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
39.7261342593,72054.0,6038.0,11.9334216628,745.0,340.0,963.0,643.0,263.0,528.0,427.0,788.0,1428.0,1944.0,545.0,112.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7268287037,71904.0,6040.0,11.9046357616,747.0,342.0,963.0,643.0,279.0,518.0,395.0,805.0,1476.0,1881.0,580.0,104.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7275231481,72952.0,6035.0,12.0881524441,745.0,339.0,969.0,639.0,221.0,530.0,413.0,733.0,1531.0,1916.0,579.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7282175926,70488.0,6036.0,11.6779324056,745.0,343.0,963.0,651.0,281.0,550.0,399.0,821.0,1508.0,1820.0,545.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.728912037,72411.0,6038.0,11.9925472011,745.0,339.0,966.0,639.0,267.0,513.0,385.0,790.0,1508.0,1888.0,575.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7296064815,72768.0,6038.0,12.0516727393,745.0,342.0,963.0,639.0,275.0,528.0,412.0,788.0,1465.0,1862.0,584.0,122.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7303009259,71256.0,6036.0,11.8051689861,745.0,344.0,963.0,643.0,269.0,556.0,406.0,786.0,1481.0,1873.0,553.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7309953704,72778.0,6036.0,12.0573227303,745.0,344.0,961.0,643.0,258.0,546.0,372.0,774.0,1499.0,1905.0,558.0,122.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7316898148,73496.0,6035.0,12.1782932891,747.0,340.0,963.0,641.0,251.0,508.0,382.0,766.0,1501.0,1930.0,577.0,118.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7323842593,71104.0,6038.0,11.7760847963,745.0,343.0,963.0,639.0,256.0,558.0,377.0,820.0,1498.0,1848.0,588.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7330787037,72107.0,6037.0,11.9441775716,745.0,339.0,963.0,639.0,284.0,543.0,372.0,769.0,1536.0,1846.0,564.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7337731481,72555.0,6035.0,12.0223695112,745.0,339.0,963.0,646.0,263.0,537.0,371.0,731.0,1540.0,1900.0,587.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7344675926,73986.0,6030.0,12.2696517413,745.0,339.0,963.0,647.0,242.0,510.0,406.0,764.0,1469.0,1916.0,600.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.735162037,71498.0,6038.0,11.8413381915,745.0,343.0,966.0,643.0,287.0,554.0,374.0,791.0,1475.0,1872.0,584.0,99.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7358564815,72923.0,6037.0,12.0793440451,745.0,342.0,963.0,641.0,278.0,509.0,397.0,787.0,1469.0,1855.0,643.0,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7365509259,71983.0,6032.0,11.9335212202,745.0,343.0,961.0,643.0,273.0,533.0,389.0,772.0,1492.0,1872.0,601.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7372453704,72215.0,6038.0,11.9600861212,745.0,343.0,964.0,636.0,248.0,583.0,366.0,799.0,1475.0,1882.0,566.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7379398148,71161.0,6036.0,11.7894300861,741.0,339.0,963.0,646.0,239.0,561.0,388.0,764.0,1564.0,1863.0,552.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7386342593,72526.0,6038.0,12.0115932428,745.0,344.0,961.0,639.0,282.0,508.0,399.0,775.0,1481.0,1881.0,608.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7393287037,73718.0,6040.0,12.2049668874,745.0,339.0,963.0,641.0,233.0,496.0,395.0,794.0,1511.0,1889.0,606.0,114.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7400231481,71020.0,6034.0,11.769970169,741.0,342.0,963.0,641.0,277.0,520.0,434.0,742.0,1541.0,1858.0,555.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7407175926,71331.0,6036.0,11.8175944334,745.0,344.0,960.0,643.0,251.0,585.0,393.0,756.0,1525.0,1881.0,522.0,122.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.741412037,72796.0,6042.0,12.0483283681,745.0,342.0,966.0,643.0,267.0,494.0,415.0,774.0,1531.0,1868.0,570.0,121.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7421064815,71223.0,6035.0,11.8016570008,745.0,339.0,963.0,639.0,293.0,585.0,353.0,793.0,1511.0,1837.0,548.0,109.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7428009259,71592.0,6036.0,11.8608349901,745.0,339.0,967.0,643.0,263.0,530.0,437.0,751.0,1524.0,1867.0,547.0,115.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7434953704,72331.0,6039.0,11.9773141249,743.0,342.0,967.0,639.0,279.0,533.0,423.0,736.0,1513.0,1830.0,618.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7441898148,71764.0,6040.0,11.8814569536,745.0,343.0,963.0,643.0,249.0,510.0,389.0,821.0,1561.0,1837.0,559.0,112.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7448842593,72961.0,6033.0,12.093651583,741.0,344.0,967.0,639.0,246.0,501.0,432.0,777.0,1509.0,1846.0,608.0,112.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7455787037,71411.0,6035.0,11.8328086164,741.0,340.0,960.0,643.0,264.0,567.0,406.0,750.0,1527.0,1854.0,550.0,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7462731481,71210.0,6039.0,11.7916873655,743.0,342.0,961.0,639.0,278.0,564.0,411.0,766.0,1489.0,1852.0,578.0,97.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7469675926,72420.0,6033.0,12.0039781203,743.0,344.0,967.0,639.0,294.0,534.0,385.0,739.0,1516.0,1864.0,587.0,112.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.747662037,72132.0,6038.0,11.9463398476,739.0,343.0,966.0,639.0,244.0,556.0,422.0,711.0,1498.0,1932.0,575.0,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7483564815,71743.0,6034.0,11.8897911833,743.0,342.0,963.0,644.0,272.0,529.0,387.0,774.0,1528.0,1881.0,548.0,113.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39.7490509259,71912.0,6037.0,11.91187676,741.0,342.0,966.0,643.0,257.0,532.0,396.0,731.0,1538.0,1932.0,542.0,107.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
